transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation,comparison_date,recency
8111,79,1970,2017-12-30,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-09 00:00:00,737.5699999999999,Male,51.0,1982-08-23 00:00:00,41.0,Desktop Support Technician,Manufacturing,Mass Customer,N,No,7.0,5 Onsgard Plaza,3134.0,VIC,10.0,2017-12-30,0.0
9158,88,86,2017-12-30,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1993-07-15 00:00:00,182.81000000000017,Male,75.0,1989-03-04 00:00:00,34.0,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,289 Haas Street,2075.0,NSW,11.0,2017-12-30,0.0
9820,31,1425,2017-12-30,1.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,2002-03-22 00:00:00,547.28,Male,20.0,1986-07-06 00:00:00,37.0,General Manager,Retail,High Net Worth,N,Yes,11.0,87038 Sauthoff Road,2761.0,NSW,7.0,2017-12-30,0.0
10905,0,2659,2017-12-30,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,2004-01-16 00:00:00,25.08999999999999,Female,81.0,1974-06-14 00:00:00,49.0,Professor,Argiculture,High Net Worth,N,Yes,11.0,882 Mitchell Place,4151.0,QLD,4.0,2017-12-30,0.0
11701,93,1453,2017-12-30,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-02 00:00:00,583.2700000000001,Male,54.0,1977-07-30 00:00:00,46.0,Computer Systems Analyst I,Health,High Net Worth,N,No,13.0,58516 Tony Plaza,2567.0,NSW,8.0,2017-12-30,0.0
12453,12,151,2017-12-30,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2010-11-05 00:00:00,1069.5500000000002,Male,36.0,1965-01-31 00:00:00,58.0,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,34457 Springview Street,2759.0,NSW,9.0,2017-12-30,0.0
12667,89,1594,2017-12-30,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2016-07-09 00:00:00,1305.25,Male,62.0,1981-11-26 00:00:00,41.0,Human Resources Manager,Property,Mass Customer,N,No,7.0,0 Thackeray Avenue,2100.0,NSW,10.0,2017-12-30,0.0
12826,11,3016,2017-12-30,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2014-03-03 00:00:00,195.33999999999992,Male,25.0,1985-08-11 00:00:00,38.0,Analog Circuit Design manager,Financial Services,High Net Worth,N,No,11.0,7 Anzinger Drive,2745.0,NSW,10.0,2017-12-30,0.0
13575,98,2396,2017-12-30,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06 00:00:00,143.35999999999999,Female,40.0,1973-08-02 00:00:00,50.0,Recruiter,Retail,Affluent Customer,N,Yes,7.0,43 Commercial Road,4128.0,QLD,7.0,2017-12-30,0.0
13670,73,2165,2017-12-30,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,2002-08-31 00:00:00,1612.25,U,16.0,00:00:00,0.0,Civil Engineer,Manufacturing,Affluent Customer,N,No,0.0,0134 Swallow Pass,3030.0,VIC,6.0,2017-12-30,0.0
15270,3,195,2017-12-30,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15 00:00:00,1702.5499999999997,Female,34.0,1958-11-14 00:00:00,64.0,Project Manager,Manufacturing,Mass Customer,N,No,6.0,43 Upham Crossing,3143.0,VIC,9.0,2017-12-30,0.0
15757,30,3130,2017-12-30,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,1991-11-10 00:00:00,299.27,Female,53.0,1971-01-25 00:00:00,52.0,VP Product Management,Telecommunications,Mass Customer,N,No,17.0,3126 Bayside Hill,4503.0,QLD,4.0,2017-12-30,0.0
16166,89,2345,2017-12-30,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,2002-10-10 00:00:00,1305.25,Female,50.0,1986-07-15 00:00:00,37.0,Systems Administrator I,Retail,Affluent Customer,N,Yes,3.0,4 Huxley Alley,4070.0,QLD,8.0,2017-12-30,0.0
16258,14,2055,2017-12-30,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24 00:00:00,737.1700000000001,Male,46.0,1980-09-14 00:00:00,42.0,Administrative Assistant III,Retail,High Net Worth,N,No,7.0,1786 Orin Street,2327.0,NSW,3.0,2017-12-30,0.0
16759,27,256,2017-12-30,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2010-06-07 00:00:00,903.11,Female,16.0,1975-05-07 00:00:00,48.0,Director of Sales,Health,High Net Worth,N,Yes,21.0,5130 Manley Court,2287.0,NSW,7.0,2017-12-30,0.0
17182,26,3169,2017-12-30,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2016-11-22 00:00:00,1230.3000000000002,Male,96.0,1964-01-12 00:00:00,59.0,Payment Adjustment Coordinator,IT,Mass Customer,N,Yes,19.0,398 Butternut Place,3027.0,VIC,7.0,2017-12-30,0.0
17394,20,933,2017-12-30,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1996-04-05 00:00:00,195.33999999999992,Female,75.0,1996-05-19 00:00:00,27.0,Help Desk Operator,Retail,Mass Customer,N,Yes,5.0,243 Ridge Oak Center,2195.0,NSW,9.0,2017-12-30,0.0
18609,27,2372,2017-12-30,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-23 00:00:00,110.80999999999995,Male,14.0,1977-09-10 00:00:00,45.0,Clinical Specialist,Health,Affluent Customer,N,No,10.0,0 Gateway Road,3149.0,VIC,12.0,2017-12-30,0.0
19346,4,543,2017-12-30,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2011-04-16 00:00:00,451.6500000000001,Male,9.0,1973-08-03 00:00:00,50.0,Account Coordinator,Retail,Affluent Customer,N,Yes,17.0,20 Debs Road,2307.0,NSW,4.0,2017-12-30,0.0
19907,41,1721,2017-12-30,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07 00:00:00,209.84000000000003,Female,82.0,1980-10-22 00:00:00,42.0,Senior Quality Engineer,Financial Services,High Net Worth,N,No,14.0,0 Graedel Drive,4817.0,QLD,4.0,2017-12-30,0.0
19959,4,1787,2017-12-30,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,2005-10-22 00:00:00,1383.6100000000001,Male,2.0,1976-11-21 00:00:00,46.0,Executive Secretary,Retail,High Net Worth,N,Yes,13.0,79427 Hudson Trail,3677.0,VIC,1.0,2017-12-30,0.0
983,21,729,2017-12-29,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-11-10 00:00:00,690.49,Female,30.0,1973-10-23 00:00:00,49.0,Analog Circuit Design manager,Health,Affluent Customer,N,No,11.0,8044 Emmet Hill,3150.0,VIC,9.0,2017-12-30,1.0
1015,35,2369,2017-12-29,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,2008-03-19 00:00:00,903.11,Female,80.0,1996-10-28 00:00:00,26.0,Financial Analyst,Financial Services,Mass Customer,N,Yes,1.0,1 Bay Pass,3219.0,VIC,5.0,2017-12-30,1.0
1041,30,1607,2017-12-29,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,2003-03-18 00:00:00,299.27,Female,39.0,1988-01-22 00:00:00,35.0,Marketing Assistant,Retail,Mass Customer,N,Yes,15.0,5 Algoma Point,3809.0,VIC,5.0,2017-12-30,1.0
2257,31,2908,2017-12-29,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,1999-07-20 00:00:00,57.72999999999999,Female,42.0,1955-09-21 00:00:00,67.0,Social Worker,Health,Affluent Customer,N,Yes,11.0,8188 Fuller Hill,3175.0,VIC,8.0,2017-12-30,1.0
4066,81,886,2017-12-29,0.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,1991-07-10 00:00:00,64.50999999999999,Female,53.0,1974-11-15 00:00:00,48.0,Accounting Assistant III,Health,Mass Customer,N,No,11.0,923 Westerfield Junction,2065.0,NSW,10.0,2017-12-30,1.0
5658,38,2555,2017-12-29,1.0,Approved,Solex,Standard,medium,medium,1577.53,826.51,2011-03-16 00:00:00,751.02,Male,43.0,1976-09-19 00:00:00,46.0,Health Coach IV,Health,Affluent Customer,N,No,11.0,48 Lighthouse Bay Point,2430.0,NSW,7.0,2017-12-30,1.0
6089,89,1390,2017-12-29,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2010-06-07 00:00:00,1230.27,Female,74.0,2000-01-25 00:00:00,23.0,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,02701 Talmadge Junction,3082.0,VIC,7.0,2017-12-30,1.0
6110,94,884,2017-12-29,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,2013-06-09 00:00:00,641.64,Male,11.0,1978-01-30 00:00:00,45.0,Web Designer IV,Property,Mass Customer,N,No,17.0,06419 Dayton Junction,3191.0,VIC,10.0,2017-12-30,1.0
6344,49,1629,2017-12-29,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,2012-06-04 00:00:00,133.38,Male,46.0,1974-08-21 00:00:00,49.0,VP Accounting,Financial Services,Mass Customer,N,No,14.0,10 Hazelcrest Street,4413.0,QLD,5.0,2017-12-30,1.0
6479,29,2365,2017-12-29,1.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,2002-03-22 00:00:00,135.84999999999997,Female,2.0,1998-10-18 00:00:00,24.0,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3.0,743 Stone Corner Parkway,4127.0,QLD,6.0,2017-12-30,1.0
7139,9,1453,2017-12-29,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05 00:00:00,133.7800000000002,Male,54.0,1977-07-30 00:00:00,46.0,Computer Systems Analyst I,Health,High Net Worth,N,No,13.0,58516 Tony Plaza,2567.0,NSW,8.0,2017-12-30,1.0
7742,43,3315,2017-12-29,0.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,1993-04-12 00:00:00,502.47,Female,77.0,1994-09-08 00:00:00,28.0,Account Executive,Property,Mass Customer,N,Yes,5.0,6 North Court,3862.0,VIC,7.0,2017-12-30,1.0
8352,99,3262,2017-12-29,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,1994-08-10 00:00:00,456.44999999999993,Male,65.0,1959-10-14 00:00:00,63.0,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221.0,QLD,8.0,2017-12-30,1.0
9508,18,1120,2017-12-29,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,2013-03-12 00:00:00,143.82,Female,87.0,1980-08-31 00:00:00,42.0,Web Developer IV,Retail,Affluent Customer,N,No,12.0,03 6th Alley,2168.0,NSW,9.0,2017-12-30,1.0
10996,61,856,2017-12-29,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2012-05-18 00:00:00,14.229999999999997,Male,63.0,1988-10-01 00:00:00,34.0,Quality Engineer,Financial Services,Mass Customer,N,Yes,9.0,94 Anhalt Way,3139.0,VIC,7.0,2017-12-30,1.0
11522,22,76,2017-12-29,1.0,Approved,Solex,Standard,medium,medium,575.27,431.45,1996-04-05 00:00:00,143.82,Female,20.0,1978-01-23 00:00:00,45.0,Statistician II,Retail,High Net Worth,N,Yes,18.0,439 Ridgeway Court,4213.0,QLD,9.0,2017-12-30,1.0
11564,36,2929,2017-12-29,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,1995-12-19 00:00:00,437.46,Male,97.0,1999-07-28 00:00:00,24.0,Nurse,Retail,Mass Customer,N,No,2.0,415 Walton Lane,4883.0,QLD,3.0,2017-12-30,1.0
11679,32,1991,2017-12-29,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2003-03-18 00:00:00,431.33000000000004,Male,35.0,1993-09-27 00:00:00,29.0,Research Nurse,Health,Mass Customer,N,Yes,8.0,42554 Burrows Court,2117.0,NSW,10.0,2017-12-30,1.0
11992,13,1918,2017-12-29,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09 00:00:00,574.6200000000001,U,83.0,00:00:00,0.0,Staff Accountant II,IT,Affluent Customer,N,No,0.0,504 Mesta Lane,2261.0,NSW,8.0,2017-12-30,1.0
13208,57,3374,2017-12-29,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21 00:00:00,1630.25,Female,77.0,1959-11-17 00:00:00,63.0,Sales Associate,Manufacturing,Mass Customer,N,Yes,12.0,000 Boyd Center,2160.0,NSW,8.0,2017-12-30,1.0
13226,41,1906,2017-12-29,1.0,Approved,Solex,Road,medium,medium,416.98,312.74,1997-05-10 00:00:00,104.24000000000001,Male,69.0,1988-04-24 00:00:00,35.0,Product Engineer,Retail,Mass Customer,N,No,22.0,01 Weeping Birch Plaza,2640.0,NSW,4.0,2017-12-30,1.0
13539,0,1538,2017-12-29,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02 00:00:00,17.869999999999997,Male,74.0,1989-04-22 00:00:00,34.0,Pharmacist,Health,High Net Worth,N,Yes,12.0,27 Hooker Plaza,2177.0,NSW,8.0,2017-12-30,1.0
13894,15,224,2017-12-29,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-07 00:00:00,209.84000000000003,Male,2.0,1967-12-03 00:00:00,55.0,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0,6236 Summerview Terrace,2110.0,NSW,12.0,2017-12-30,1.0
14491,90,1530,2017-12-29,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2000-11-03 00:00:00,72.59999999999997,Male,89.0,1976-01-12 00:00:00,47.0,Pharmacist,Health,Mass Customer,N,Yes,9.0,84749 Holy Cross Terrace,2767.0,NSW,8.0,2017-12-30,1.0
15159,64,1052,2017-12-29,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24 00:00:00,217.51,Female,31.0,1986-02-02 00:00:00,37.0,Junior Executive,Financial Services,High Net Worth,N,No,3.0,06 Declaration Hill,3184.0,VIC,11.0,2017-12-30,1.0
15471,0,2693,2017-12-29,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-09-15 00:00:00,17.869999999999997,Male,91.0,1968-04-11 00:00:00,55.0,Research Assistant III,Health,High Net Worth,N,Yes,16.0,03 Old Shore Terrace,4078.0,QLD,7.0,2017-12-30,1.0
15638,79,2130,2017-12-29,1.0,Approved,Solex,Touring,medium,large,2083.94,675.03,2015-08-02 00:00:00,1408.91,Female,95.0,1990-01-01 00:00:00,33.0,Structural Engineer,Property,High Net Worth,N,Yes,16.0,26064 Morningstar Junction,2480.0,NSW,2.0,2017-12-30,1.0
15877,77,2561,2017-12-29,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2007-12-11 00:00:00,1660.88,Female,44.0,1963-09-06 00:00:00,0.0,0,Manufacturing,High Net Worth,N,Yes,15.0,67 Lerdahl Parkway,4670.0,QLD,1.0,2017-12-30,1.0
16354,7,2152,2017-12-29,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2003-08-05 00:00:00,745.94,Female,40.0,1968-11-05 00:00:00,54.0,Database Administrator III,Manufacturing,Mass Customer,N,Yes,19.0,2800 Dottie Trail,3071.0,VIC,10.0,2017-12-30,1.0
16358,10,703,2017-12-29,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,2014-03-03 00:00:00,1103.43,Female,66.0,1966-10-31 00:00:00,0.0,0,Property,Mass Customer,N,No,15.0,4 Lillian Plaza,2283.0,NSW,6.0,2017-12-30,1.0
16362,0,1470,2017-12-29,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,2003-02-16 00:00:00,43.97,Male,62.0,1995-12-04 00:00:00,27.0,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,04 Gulseth Plaza,2528.0,NSW,8.0,2017-12-30,1.0
17320,51,2236,2017-12-29,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,1997-10-04 00:00:00,802.26,Male,0.0,1968-04-16 00:00:00,55.0,Data Coordiator,Manufacturing,Affluent Customer,N,Yes,13.0,261 Mosinee Avenue,2335.0,NSW,5.0,2017-12-30,1.0
17993,95,793,2017-12-29,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-08-25 00:00:00,139.2299999999999,Female,97.0,1989-01-30 00:00:00,34.0,Actuary,Financial Services,High Net Worth,N,Yes,9.0,57 Gulseth Terrace,2099.0,NSW,10.0,2017-12-30,1.0
18200,5,1478,2017-12-29,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-09 00:00:00,451.6500000000001,Male,40.0,1992-12-05 00:00:00,30.0,VP Quality Control,Financial Services,High Net Worth,N,No,9.0,12 Express Pass,2340.0,NSW,2.0,2017-12-30,1.0
18326,25,964,2017-12-29,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2012-04-10 00:00:00,802.26,Female,35.0,1994-01-24 00:00:00,29.0,Assistant Professor,Financial Services,High Net Worth,N,No,6.0,2379 Dorton Pass,2089.0,NSW,12.0,2017-12-30,1.0
18428,34,739,2017-12-29,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,2003-03-18 00:00:00,309.80999999999995,Male,36.0,1964-12-13 00:00:00,58.0,Senior Editor,Manufacturing,Mass Customer,N,No,8.0,08260 Jay Court,3191.0,VIC,11.0,2017-12-30,1.0
18480,96,1794,2017-12-29,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,2002-10-10 00:00:00,129.01,Female,53.0,1969-03-10 00:00:00,54.0,Administrative Officer,Property,Mass Customer,N,No,8.0,59 Old Gate Drive,4878.0,QLD,5.0,2017-12-30,1.0
18632,54,2922,2017-12-29,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2015-10-18 00:00:00,1279.3999999999999,Male,34.0,1981-12-10 00:00:00,41.0,Sales Associate,Manufacturing,Affluent Customer,N,Yes,10.0,2 Jackson Way,4210.0,QLD,4.0,2017-12-30,1.0
18633,33,983,2017-12-29,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11 00:00:00,144.26,U,49.0,00:00:00,0.0,0,IT,Affluent Customer,N,No,0.0,3638 Starling Alley,2027.0,NSW,11.0,2017-12-30,1.0
18659,34,322,2017-12-29,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,1994-07-12 00:00:00,309.80999999999995,Female,19.0,1977-03-10 00:00:00,46.0,Research Associate,Financial Services,Mass Customer,N,Yes,11.0,5 Schurz Place,4350.0,QLD,6.0,2017-12-30,1.0
18866,71,3427,2017-12-29,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,2016-12-06 00:00:00,737.1700000000001,Male,67.0,1981-05-19 00:00:00,42.0,Help Desk Operator,Financial Services,Mass Customer,N,Yes,17.0,0 Walton Court,2226.0,NSW,9.0,2017-12-30,1.0
19091,60,2082,2017-12-29,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24 00:00:00,217.51,Female,38.0,1979-12-07 00:00:00,43.0,Legal Assistant,Health,Affluent Customer,N,Yes,19.0,73637 Nancy Street,2469.0,NSW,1.0,2017-12-30,1.0
19340,12,2029,2017-12-29,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17 00:00:00,1069.5500000000002,Male,10.0,1992-03-10 00:00:00,31.0,Nurse,Manufacturing,Mass Customer,N,No,7.0,2 Thierer Place,4053.0,QLD,8.0,2017-12-30,1.0
19385,0,106,2017-12-29,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2014-03-03 00:00:00,17.869999999999997,Male,54.0,1966-07-03 00:00:00,57.0,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,7909 Pierstorff Crossing,2517.0,NSW,9.0,2017-12-30,1.0
19433,45,2054,2017-12-29,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,2001-11-25 00:00:00,356.5,Male,12.0,1995-08-21 00:00:00,0.0,0,Manufacturing,Mass Customer,N,Yes,22.0,89 Anhalt Park,2106.0,NSW,11.0,2017-12-30,1.0
19699,75,239,2017-12-29,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-22 00:00:00,1010.02,Male,62.0,1992-12-13 00:00:00,30.0,Registered Nurse,Health,Affluent Customer,N,No,3.0,95 Eliot Street,4514.0,QLD,3.0,2017-12-30,1.0
260,31,3393,2017-12-28,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,2011-03-16 00:00:00,57.72999999999999,Female,23.0,1954-02-21 00:00:00,69.0,Technical Writer,Retail,Mass Customer,N,Yes,7.0,0 Weeping Birch Plaza,2093.0,NSW,12.0,2017-12-30,2.0
656,26,3470,2017-12-28,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,2015-08-02 00:00:00,1230.3000000000002,Female,56.0,1967-10-01 00:00:00,55.0,Recruiting Manager,Health,Affluent Customer,N,Yes,6.0,176 Sutteridge Alley,3121.0,VIC,11.0,2017-12-30,2.0
750,75,2195,2017-12-28,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,1991-07-10 00:00:00,1010.02,Female,94.0,1987-05-02 00:00:00,36.0,GIS Technical Architect,Financial Services,Affluent Customer,N,Yes,13.0,9 Barnett Street,4179.0,QLD,10.0,2017-12-30,2.0
